aX,aY,aZ,gX,gY,gZ
-0.102,0.363,0.962,-0.671,-4.272,10.620
-0.100,0.369,0.957,-0.488,-4.272,13.611
-0.098,0.371,0.939,-0.061,-4.456,16.357
-0.100,0.348,0.923,0.854,-4.333,19.531
-0.065,0.349,0.873,1.770,-2.625,21.362
-0.115,0.340,0.903,3.235,0.122,23.315
-0.129,0.312,0.904,3.967,1.709,24.170
-0.135,0.288,0.891,6.165,2.625,25.330
-0.121,0.271,0.891,7.812,3.601,26.489
-0.124,0.255,0.914,8.423,4.883,28.870
-0.143,0.240,0.932,7.446,5.554,31.921
-0.154,0.245,0.918,5.188,5.127,33.630
-0.149,0.251,0.893,2.869,4.456,34.119
-0.132,0.236,0.860,1.892,4.150,35.156
-0.140,0.184,0.837,1.709,2.991,37.903
-0.180,0.123,0.819,1.953,3.540,41.809
-0.189,0.060,0.842,1.770,5.737,44.678
-0.228,0.005,0.829,-0.610,6.470,45.898
-0.248,-0.036,0.800,-3.235,8.362,43.457
-0.253,-0.083,0.790,-3.906,11.047,39.612
-0.267,-0.120,0.776,-2.014,13.306,35.522
-0.283,-0.170,0.768,0.610,16.235,31.311
-0.282,-0.219,0.784,3.174,20.325,27.893
-0.276,-0.244,0.804,5.493,24.963,24.475
-0.241,-0.237,0.845,8.423,29.785,20.264
-0.179,-0.249,0.917,12.634,32.593,19.226
-0.134,-0.285,0.962,16.357,30.029,21.851
-0.131,-0.309,0.977,18.005,23.865,25.879
-0.166,-0.390,0.996,17.212,17.944,29.785
-0.179,-0.481,0.992,13.062,14.221,32.227
-0.159,-0.602,0.970,6.775,11.597,34.485
-0.175,-0.754,0.951,2.686,8.484,39.246
-0.196,-0.904,0.968,2.869,7.324,46.753
-0.223,-1.103,0.978,4.456,9.094,51.086
-0.219,-1.338,0.996,5.798,12.451,47.791
-0.229,-1.594,1.014,5.432,15.076,41.443
-0.259,-1.809,1.079,1.160,16.052,36.804
-0.321,-1.990,1.158,-7.629,18.555,32.227
-0.386,-2.192,1.235,-20.752,25.269,24.963
-0.408,-2.336,1.283,-36.316,31.799,13.672
-0.419,-2.359,1.288,-47.241,33.569,-4.150
-0.443,-2.294,1.272,-47.485,29.175,-28.564
-0.398,-2.230,1.297,-40.161,20.508,-54.932
-0.371,-2.139,1.274,-32.471,5.066,-78.796
-0.322,-2.004,1.254,-28.503,-9.583,-97.412
-0.255,-2.011,1.264,-28.931,-19.287,-109.497
-0.220,-1.995,1.253,-39.673,-22.278,-127.075
-0.147,-1.952,1.240,-53.955,-22.644,-144.775
-0.093,-1.895,1.242,-63.171,-24.841,-162.170
-0.031,-1.817,1.247,-64.392,-27.954,-179.749
-0.018,-1.720,1.252,-56.641,-29.358,-196.167
0.024,-1.610,1.227,-45.044,-30.762,-214.478
0.111,-1.488,1.214,-37.476,-36.865,-235.107
0.253,-1.246,1.169,-32.166,-41.443,-256.836
0.378,-0.955,1.122,-24.902,-45.227,-277.466
0.500,-0.713,1.117,-14.954,-49.377,-293.518
0.645,-0.521,1.097,-4.639,-52.612,-303.040
0.854,-0.303,1.001,1.221,-52.856,-309.387
1.097,-0.072,0.950,5.798,-50.659,-315.063
1.246,0.132,0.994,12.390,-46.204,-315.979
