aX,aY,aZ,gX,gY,gZ
0.034,0.033,0.852,-1.648,-35.645,-3.723
0.050,0.009,0.824,-3.662,-36.316,-2.869
0.064,-0.013,0.789,-6.470,-36.438,-1.953
0.100,-0.036,0.739,-10.132,-37.231,-1.099
0.133,-0.054,0.674,-14.404,-39.063,0.000
0.153,-0.062,0.611,-19.592,-41.382,1.160
0.160,-0.054,0.542,-25.146,-43.945,1.953
0.169,-0.039,0.471,-30.396,-47.729,2.441
0.194,-0.005,0.382,-32.898,-53.040,2.441
0.191,0.035,0.286,-31.555,-60.730,2.686
0.203,0.065,0.206,-26.611,-69.885,2.380
0.238,0.063,0.114,-18.372,-78.369,2.075
0.275,0.044,0.048,-8.789,-84.412,2.258
0.294,0.021,0.029,0.183,-86.670,2.258
0.289,0.001,0.022,5.737,-83.008,2.930
0.325,-0.007,0.009,6.775,-72.388,3.906
0.338,0.011,0.013,6.042,-58.167,3.845
0.319,0.053,0.011,4.944,-42.847,4.944
0.312,0.087,-0.001,3.967,-29.358,7.935
0.301,0.118,0.003,4.517,-20.081,12.573
0.317,0.141,-0.025,7.385,-15.808,16.907
0.384,0.163,-0.068,14.709,-14.099,19.714
0.369,0.186,-0.069,27.100,-12.573,22.644
0.315,0.208,-0.086,39.185,-8.362,27.283
0.266,0.161,-0.078,48.828,0.854,33.997
0.246,0.115,-0.048,59.326,15.625,39.429
0.228,0.065,-0.000,70.435,33.020,42.480
0.213,0.019,0.099,75.867,54.260,45.959
0.194,-0.010,0.206,73.120,81.604,49.866
0.232,0.029,0.320,66.650,111.023,52.368
0.287,0.081,0.431,64.453,132.690,55.359
0.317,0.088,0.497,66.895,141.357,62.195
0.315,0.070,0.524,69.275,145.325,71.106
0.319,0.004,0.626,72.998,156.311,80.444
0.326,-0.152,0.769,77.209,178.101,88.928
0.408,-0.232,0.920,77.332,206.909,92.834
0.406,-0.348,1.295,82.336,240.601,93.628
0.334,-0.601,1.818,98.450,274.719,93.567
0.367,-0.895,2.358,114.624,302.124,88.440
0.462,-1.084,2.966,117.798,312.927,77.759
0.437,-0.726,3.427,103.516,280.273,78.857
0.049,-0.984,3.599,66.772,175.781,114.014
0.270,-1.025,3.748,34.851,100.525,37.720
0.239,-1.092,3.646,45.776,120.422,3.357
-0.205,-0.814,3.623,57.800,71.655,38.940
0.004,-1.115,3.517,40.344,12.756,51.086
-0.198,-1.164,3.361,30.029,-13.306,49.805
-0.327,-1.239,3.237,27.405,-5.859,42.114
-0.291,-1.273,3.145,18.372,7.324,29.541
-0.303,-1.251,3.120,0.854,6.165,17.151
-0.290,-1.245,3.066,-14.893,-4.150,-1.465
-0.242,-1.174,2.902,-25.330,-19.531,-21.606
-0.292,-1.073,2.672,-32.349,-47.485,-35.217
-0.174,-0.946,2.469,-36.011,-75.378,-39.124
-0.169,-0.998,2.224,-31.616,-108.154,-43.823
-0.168,-1.002,1.974,-20.935,-124.268,-56.702
-0.172,-1.015,1.831,-10.315,-131.104,-70.557
-0.187,-1.006,1.669,-7.446,-129.883,-78.125
-0.158,-1.029,1.561,-10.376,-114.319,-83.191
-0.177,-1.015,1.466,-20.508,-98.572,-90.759
-0.126,-0.991,1.382,-29.602,-75.439,-101.379
-0.068,-0.944,1.365,-32.104,-47.180,-113.159
-0.078,-0.964,1.403,-30.762,-26.428,-124.329
-0.058,-0.969,1.443,-29.297,-18.738,-136.780
-0.008,-0.942,1.499,-27.588,-27.466,-149.780
0.060,-0.884,1.488,-25.146,-45.227,-160.278
0.134,-0.833,1.434,-22.705,-65.125,-166.077
0.181,-0.760,1.392,-18.250,-84.229,-167.847
0.199,-0.712,1.301,-6.958,-102.844,-169.250
0.216,-0.666,1.193,7.690,-122.559,-170.593
0.181,-0.689,1.138,20.386,-139.404,-170.044
0.127,-0.805,1.088,32.837,-142.639,-173.767
0.061,-0.859,1.080,45.227,-138.123,-189.331
0.070,-0.816,1.027,51.270,-135.498,-209.595
0.062,-0.734,0.937,49.133,-131.165,-221.924
0.085,-0.628,0.781,45.959,-117.554,-225.952
0.093,-0.520,0.741,50.598,-96.436,-221.802
0.149,-0.464,0.742,54.871,-70.984,-210.693
0.154,-0.529,0.780,46.814,-46.936,-195.068
0.156,-0.644,0.836,28.381,-34.180,-183.716
0.218,-0.650,0.797,6.042,-37.476,-182.373
0.263,-0.642,0.704,-15.320,-45.044,-185.242
0.268,-0.617,0.537,-32.166,-45.166,-190.796
0.275,-0.566,0.244,-40.100,-41.077,-201.416
0.323,-0.387,-0.065,-32.227,-39.734,-213.562
0.426,-0.210,-0.222,-3.357,-38.635,-222.961
0.623,-0.031,-0.144,31.738,-34.180,-224.976
0.815,0.106,-0.013,49.805,-26.001,-213.257
0.943,0.180,0.043,39.246,-14.893,-185.791
0.982,0.243,-0.041,8.118,1.282,-150.208
1.052,0.262,-0.138,-26.428,23.621,-115.356
1.096,0.180,-0.146,-54.138,49.438,-86.731
1.144,0.323,-0.107,-65.918,69.336,-80.200
1.151,0.528,0.000,-56.091,71.838,-90.515
1.164,0.594,0.090,-33.569,64.819,-100.159
1.200,0.687,0.290,-2.625,56.091,-111.572
1.219,0.825,0.520,24.963,43.335,-123.169
1.210,0.966,0.651,36.194,29.846,-121.826
1.185,1.084,0.730,30.762,20.569,-104.675
1.082,1.079,0.840,13.611,17.151,-72.815
0.909,0.977,0.846,-11.292,19.653,-37.476
0.757,0.901,0.775,-34.546,21.423,-9.888
0.607,0.853,0.713,-47.363,20.020,9.827
0.441,0.792,0.639,-47.913,17.395,25.085
0.286,0.648,0.603,-36.438,11.475,33.447
0.130,0.505,0.615,-18.188,1.343,31.860
0.017,0.432,0.657,1.526,-8.789,23.560
-0.063,0.357,0.681,17.456,-17.944,18.066
-0.138,0.287,0.674,21.118,-23.010,20.264
-0.203,0.220,0.627,14.893,-21.057,26.672
-0.287,0.138,0.571,7.507,-14.709,34.363
-0.365,0.026,0.594,6.287,-5.920,39.978
-0.407,-0.062,0.701,9.766,5.310,39.795
-0.390,-0.101,0.835,12.573,15.625,36.377
-0.375,-0.127,0.930,11.169,21.667,34.912
-0.389,-0.153,0.979,7.751,22.034,34.241
-0.368,-0.211,0.998,6.104,18.433,31.555
-0.362,-0.226,1.032,8.118,12.939,26.062
-0.337,-0.222,1.080,12.268,7.751,18.799
0.108,0.203,-0.107,-16.724,-29.602,-16.602
0.109,0.272,-0.173,-9.521,-28.870,-18.677
0.128,0.350,-0.285,0.977,-32.166,-19.897
0.107,0.448,-0.370,14.160,-35.706,-18.127
0.092,0.500,-0.429,31.799,-33.020,-15.259
0.087,0.469,-0.422,54.077,-24.475,-10.803
0.099,0.352,-0.309,74.463,-11.292,-4.639
0.103,0.213,-0.165,87.097,7.446,-1.343
0.091,0.089,0.026,91.248,30.945,-1.221
0.042,-0.028,0.275,91.370,56.641,-2.258
0.027,-0.126,0.509,91.736,82.397,-5.859
0.033,-0.172,0.772,92.896,96.497,-14.465
0.051,-0.109,0.905,92.773,97.046,-21.484
0.121,-0.016,0.928,91.125,88.501,-23.926
0.198,0.042,0.927,87.585,80.750,-21.423
0.232,0.065,0.993,83.130,77.698,-14.587
0.205,0.004,1.114,79.712,80.994,-5.066
0.179,-0.047,1.255,73.853,88.135,0.671
0.165,-0.039,1.334,67.383,93.628,0.732
0.113,-0.095,1.426,68.665,95.093,-0.549
0.091,-0.159,1.488,73.669,96.558,-0.427
0.101,-0.208,1.528,76.782,100.403,-1.526
0.152,-0.209,1.584,75.806,107.544,-4.700
0.238,-0.161,1.609,71.960,115.417,-8.301
0.287,-0.131,1.667,67.749,120.117,-6.348
0.625,-0.152,1.724,66.284,122.131,-2.808
0.315,0.144,1.993,59.082,88.989,9.216
